Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1509970684000,68:72:51:44:e2:e3,-89,17,35.20257684,32.1000769,6,[WPA2-PSK-CCMP][ESS],,92452
1509956822000,6a:fe:e3:03:50:1a,-81,Bezeq Free 035018,35.20263037,32.10013477,11,[ESS],,112462
1509956646236,70:3a:cb:0e:c5:64,-86,secured,35.20240645,32.10012506,7,[WPA2-PSK-CCMP][ESS],,-5745
1509956676240,70:3a:cb:0e:c5:68,-87,secured,35.2023903,32.10020168,9,[WPA2-PSK-CCMP][ESS],,112462
1509956622240,72:3a:cb:0e:c5:64,-87,secured-guest,35.20215306,32.10007668,16,[WPA2-PSK-CCMP][ESS],,-5745
1509956627239,72:3a:cb:0e:c5:68,-88,secured-guest,35.20222877,32.10022667,20,[WPA2-PSK-CCMP][ESS],,112462
1509956641242,74:da:38:81:67:8e,-81,Betty_2.4G_2EX,35.20237355,32.10005367,12,[WPA2-PSK-CCMP][WPS][ESS],,102457
1509956702238,74:da:3b:81:67:8f,-81,Betty_2.4G,35.20247652,32.10013295,12,[WPA2-PSK-CCMP][ESS],,102457
1509956822000,74:da:da:07:96:0f,-89,matanel,35.20263037,32.10013477,11,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],,102457
1509956636230,74:da:da:ac:49:46,-85,S_Home,35.20264869,32.10025834,7,[WPA2-PSK-CCMP][ESS],,32422
1509956641242,74:da:da:ae:05:ec,-88,knokh_EXT,35.20237355,32.10005367,12,[WPA2-PSK-CCMP][ESS],,12412
1509956837000,78:d9:9f:f9:09:a3,-75,Franks_5GExt,35.20263053,32.10013564,13,[WPA2-PSK-CCMP][WPS][ESS],,-5180
1509956806000,78:d9:9f:f9:09:a4,-80,Franks_2GExt,35.2026215,32.10012313,8,[WPA2-PSK-CCMP][WPS][ESS],,112462
1509956627239,84:16:f9:4f:b3:aa,-89,Mark_Sh_5_2,35.20222877,32.10022667,20,[WPA2-PSK-CCMP][WPS][ESS][BLE],,-5500
1509956709000,84:16:f9:88:30:08,-87,,35.20253574,32.1001559,11,[WPA2-PSK-CCMP][ESS],,42427
1510043756171,8c:0c:90:2d:75:e8,-73,Ariel_University,35.2092373,32.10313244,9,[ESS],,12412
1509956842000,90:8d:78:52:88:ac,-85,JuventuS F.C,35.20263071,32.10013567,10,[WPA2-PSK-CCMP][ESS][BLE],,-5240
1509956789000,90:8d:78:52:88:ad,-89,JuventuS,35.20264598,32.10018636,51,[WPA2-PSK-CCMP][ESS][BLE],,82447
1509956743000,a0:21:b7:79:a0:12,-66,daniel,35.20252068,32.10015737,14,[WPS][WEP][ESS],,112462
1509956789000,a0:4f:d4:2b:38:21,-84,Tom_2.4,35.20264598,32.10018636,51,[WPA2-PSK-CCMP][ESS][BLE],,12412
1510041205000,a0:8c:fd:0a:52:01,-89,DIRECT-02-HP DeskJet 3630 series,35.20931597,32.10250158,27,[WPA2-PSK-CCMP][ESS],,32422
1510041200000,a0:ab:1b:60:b4:ca,-84,036518749,35.20931612,32.10250265,23,[WPA2-PSK-CCMP][ESS][BLE],,52432
1509956616243,ae:5f:3e:f8:cb:23,-88,AndroidAP,35.20233463,32.10011779,13,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],,112462
1509970689000,b0:48:7a:a1:35:b6,-85,virus,35.20257721,32.10007821,8,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],,12412
1509956797000,b4:ee:b4:fe:3c:67,-75,HOTFiber-C2ED,35.20263046,32.10013487,8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],,62437
1509956702238,c0:ff:d4:7a:e6:0f,-87,bezeq123_2.4,35.20247652,32.10013295,12,[WPA2-PSK-CCMP][WPS][ESS][BLE],,12412
1509970665000,c0:ff:d4:7a:e6:10,-91,bezeq123_5,35.20256632,32.10008625,8,[WPA2-PSK-CCMP][WPS][ESS][BLE],,-5320
1509956837000,c4:04:15:11:e8:93,-80,lisman_2.4,35.20263053,32.10013564,13,[WPA2-PSK-CCMP][WPS][ESS][BLE],,112462
1509956842000,c4:04:15:11:e8:94,-85,lisman_5,35.20263071,32.10013567,10,[WPA2-PSK-CCMP][WPS][ESS][BLE],,-5280
1509956806000,d0:d4:12:64:da:02,-83,Home,35.2026215,32.10012313,8,[WPA2-PSK-CCMP][ESS][BLE],,12412
1509956646236,d4:6e:0e:3c:17:36,-88,nebenGE,35.20240645,32.10012506,7,[WPA2-PSK-CCMP+TKIP][WPS][ESS],,112462
1510041169000,d8:31:cf:4f:e0:7a,-81,Android,35.20933422,32.10258777,27,[WPA2-PSK-CCMP][ESS],,62437
1509956806000,d8:fe:e3:03:50:19,-83,yaniv,35.2026215,32.10012313,8,[WPA2-PSK-CCMP][ESS],,112462
1510041155000,e8:50:8b:05:94:c4,-69,HP,35.20933677,32.10258943,26,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],,112462
1509956842000,e8:74:e6:ff:1c:01,-80,oren&adva,35.20263071,32.10013567,10,[WPA2-PSK-CCMP][ESS][BLE],,12412
1509956842000,ec:08:6b:9f:91:fa,-81,Gili_5G,35.20263071,32.10013567,10,[WPA2-PSK-CCMP][WPS][ESS][BLE],,-5240
1509956806000,ec:08:6b:9f:91:fb,-77,Gili_2.4,35.2026215,32.10012313,8,[WPA2-PSK-CCMP][WPS][ESS][BLE],,62437
1510043756171,ec:8c:a2:08:78:c8,-60,Ariel_University,35.2092373,32.10313244,9,[ESS][BLE],,62437
1510043756171,ec:8c:a2:08:78:cc,-61,Ariel_University,35.2092373,32.10313244,9,[ESS][BLE],,-5200
1510043756171,ec:8c:a2:08:94:18,-62,Ariel_University,35.2092373,32.10313244,9,[ESS][BLE],,12412
1510043764000,ec:8c:a2:08:94:1c,-53,Ariel_University,35.20921092,32.10305457,6,[ESS][BLE],,-5200
1510041200000,ec:8c:a2:26:b1:78,-68,Ariel_University,35.20931612,32.10250265,23,[ESS][BLE],,12412
1510043764000,ec:8c:a2:88:78:c7,-69,,35.20921092,32.10305457,6,[WPA2-PSK-CCMP][ESS][BLE],,-5200
1510043756171,ec:8c:a2:88:94:17,-62,,35.2092373,32.10313244,9,[WPA2-PSK-CCMP][ESS][BLE],,-5200
1509956646236,f4:f2:6d:bf:d9:24,-91,TP-LINK_5GHz_BFD924,35.20240645,32.10012506,7,[WPA2-PSK-CCMP][WPS][ESS],,-5200
1509956676240,f8:23:b2:8a:88:9d,-87,My_Sweet_Home,35.2023903,32.10020168,9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],,82447
1510043756171,f8:d1:11:77:77:c6,-80,HelpDesk,35.2092373,32.10313244,9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],,42427
