Time,Device ID,WCenter Lat,WCenter Lon,WCenter Alt,SSID,MAC,Ferquency,Signal
"",Device ID: LMY47V
Fri Dec 01 10:45:00 IST 2017,,34.812604630186485,32.170673816282374,33.00980472385518,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,PB2-690Y_device=PB2PRO,-83
Fri Dec 01 10:45:00 IST 2017,,34.81269163800742,32.17024638126655,33.22714033934763,ter123,70:4d:7b:0c:89:50,model=Lenovo,-82
Fri Dec 01 10:45:00 IST 2017,,34.81269163800742,32.17024638126655,33.22714033934763,ter123,70:4d:7b:0c:89:50,PB2-690Y_device=PB2PRO,-72
Fri Dec 01 10:45:00 IST 2017,,34.812704035,32.170888525,41.0,hot,00:1c:10:09:4f:bc,model=Lenovo,-84
Fri Dec 01 10:45:00 IST 2017,,34.812604630186485,32.170673816282374,33.00980472385518,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,PB2-690Y_device=PB2PRO,-70
Fri Dec 01 10:45:00 IST 2017,,34.812604630186485,32.170673816282374,33.00980472385518,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,model=SM-G950F_device=dreamlte,-63
Fri Dec 01 10:45:00 IST 2017,,34.812829849243556,32.171336618707365,33.33753075362183,Ode2.4Ghz,00:12:2a:e1:6c:48,model=Lenovo,-83
Fri Dec 01 10:45:00 IST 2017,,34.8128554262013,32.17143645030123,38.58572276052996,Oded,14:cc:20:76:b8:2a,PB2-690Y_device=PB2PRO,-65
Fri Dec 01 10:45:00 IST 2017,,34.81295222550321,32.17178432683929,30.622317270252754,Oded5Ghz,00:12:2a:e1:6c:4c,model=SM-G950F_device=dreamlte,-84
Fri Dec 01 10:45:00 IST 2017,,34.81290645651568,32.17151950533051,36.1876526341848,HOTBOX-2017,c0:ac:54:f5:7d:bd,model=Lenovo,-78
Fri Dec 01 10:45:00 IST 2017,,34.8131110568187,32.17119562744008,27.73321095199865,yotam17,f8:ab:05:e9:6d:3d,PB2-690Y_device=PB2PRO,-85
Fri Dec 01 10:45:00 IST 2017,,34.8121285943714,32.17000964010358,32.13853079075498,Candan,c0:ff:d4:7b:82:30,model=Lenovo,-91
Fri Dec 01 10:45:00 IST 2017,,34.812604630186485,32.170673816282374,33.00980472385518,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,PB2-690Y_device=PB2PRO,-92
Fri Dec 01 10:46:00 IST 2017,,34.81299604,32.17198535,26.59308527,SHAHAF2.4,20:0c:c8:0a:ef:2a,model=SM-G950F_device=dreamlte,-82
Fri Dec 01 10:46:00 IST 2017,,34.81295222550321,32.17178432683929,30.622317270252754,Oded5Ghz,00:12:2a:e1:6c:4c,model=Lenovo,-82
Fri Dec 01 10:46:00 IST 2017,,34.81295222550321,32.17178432683929,30.622317270252754,Oded5Ghz,00:12:2a:e1:6c:4c,PB2-690Y_device=PB2PRO,-89
Fri Dec 01 10:46:00 IST 2017,,34.8128554262013,32.17143645030123,38.58572276052996,Oded,14:cc:20:76:b8:2a,model=Lenovo,-92
Fri Dec 01 10:46:00 IST 2017,,34.812829849243556,32.171336618707365,33.33753075362183,Oded2.4Ghz,00:12:2a:e1:6c:48,PB2-690Y_device=PB2PRO,-84
Fri Dec 01 10:46:00 IST 2017,,34.81336990029565,32.17239627107894,33.515282987234094,sellahome,d8:fb:5e:17:47:f8,model=SM-G950F_device=dreamlte,-73
Fri Dec 01 10:46:00 IST 2017,,34.813117385343396,32.17208376762239,36.74467850869553,DIR-825-4f83,80:26:89:0d:4f:84,model=Lenovo,-74
Fri Dec 01 10:46:00 IST 2017,,34.81333866873062,32.172405297725334,35.33871276392167,HOTBOX-1A14,00:07:26:4f:07:ae,PB2-690Y_device=PB2PRO,-91
Fri Dec 01 10:46:00 IST 2017,,34.81365654,32.17232792,42.0,dobry2016_5,6c:b0:ce:ac:32:9c,model=SM-G950F_device=dreamlte,-89
Fri Dec 01 10:46:00 IST 2017,,34.813117385343396,32.17208376762239,36.74467850869553,DIR-825-4f83,80:26:89:0d:4f:84,model=Lenovo,-88
Fri Dec 01 10:46:00 IST 2017,,34.81382193547652,32.17232205730656,37.41697240587233,Orit,c4:a8:1d:12:7d:4c,PB2-690Y_device=PB2PRO,-80
Fri Dec 01 10:46:00 IST 2017,,34.813117385343396,32.17208376762239,36.74467850869553,DIR-825-4f83,80:26:89:0d:4f:84,model=Lenovo,-85
Fri Dec 01 10:46:00 IST 2017,,34.814366351753556,32.17226197446892,32.141014502706994,love,14:ae:db:58:73:75,PB2-690Y_device=PB2PRO,-70
Fri Dec 01 10:49:00 IST 2017,,34.81446402,32.17218268,13.650408889999998,Efrat,40:65:a3:35:4c:c4,model=SM-G950F_device=dreamlte,-75
